"age" "proxy_signal"
"1" 1 1.41418635471562
"2" 2 -2.3554356712771
"3" 3 -0.265602924741802
"4" 4 -0.5974026468091
"5" 5 -0.879827299611151
"6" 6 -0.158503573800805
"7" 7 1.05028321859027
"8" 8 -1.46986600276677
"9" 9 0.184343702970224
"10" 10 1.82033515280629
"11" 11 -0.883311182402613
"12" 12 -0.202591543390993
"13" 13 0.140006272058914
"14" 14 0.7764222993771
"15" 15 0.604353030270699
"16" 16 0.300205980064342
"17" 17 -0.693461714860805
"18" 18 0.553704634975292
"19" 19 -1.38459895625439
"20" 20 1.40272963090411
"21" 21 -0.390050793213623
"22" 22 0.178617496613195
"23" 23 -0.830492543310146
"24" 24 -1.67531935693038
"25" 25 0.869176235709906
"26" 26 0.772848208004667
"27" 27 0.0735915953876182
"28" 28 -0.388278272423316
"29" 29 1.48981462402925
"30" 30 -1.31358841368422
"31" 31 1.02368432140389
"32" 32 1.55235981512222
"33" 33 1.29441961373883
"34" 34 0.992076286064284
"35" 35 0.179187591071622
"36" 36 2.72407305560762
"37" 37 1.11138304225345
"38" 38 1.07992259092992
"39" 39 1.8724974325057
"40" 40 -0.322018518475992
"41" 41 0.850199647653892
"42" 42 0.158620384388682
"43" 43 0.807831004350255
"44" 44 -1.83905537274083
"45" 45 0.0982572364210074
"46" 46 0.0376381745775357
"47" 47 1.27085578397583
"48" 48 1.41137125620949
"49" 49 1.32454531409172
"50" 50 1.13291486648199
"51" 51 0.775115018140485
"52" 52 1.82949937065119
"53" 53 0.152137156807448
"54" 54 0.821867435483682
"55" 55 1.16259792957657
"56" 56 -1.02932629681419
"57" 57 0.345393253438995
"58" 58 -1.15354835026626
"59" 59 0.588348562460119
"60" 60 0.897387902371404
"61" 61 -0.476582800672136
"62" 62 0.539190198816033
"63" 63 -2.2438142740614
"64" 64 1.3894015986605
"65" 65 -0.823141883723957
"66" 66 -0.088092199021659
"67" 67 -1.68534014174638
"68" 68 0.251091466871114
"69" 69 -0.350898255883544
"70" 70 -1.526345949743
"71" 71 2.2860795300575
"72" 72 -0.922023816362534
"73" 73 1.84812603784526
"74" 74 2.47349452537153
"75" 75 -1.07178157490474
"76" 76 0.0436285929278908
"77" 77 0.538882947851739
"78" 78 -0.421328068480969
"79" 79 1.91193658061174
"80" 80 2.53553485707282
"81" 81 0.498574102681699
"82" 82 0.384461676446877
"83" 83 -0.661910578400901
"84" 84 -1.01343969172858
"85" 85 -1.11286949853482
"86" 86 -0.215561476991903
"87" 87 0.284575254866894
"88" 88 0.571737540882667
"89" 89 0.566469107458023
"90" 90 1.5940211058909
"91" 91 -1.36782258423272
"92" 92 -0.191865740585093
"93" 93 -0.314462430990829
"94" 94 -0.154816816819791
"95" 95 1.48076791803679
"96" 96 1.12447461788677
"97" 97 0.896222084674995
"98" 98 1.84771334127328
"99" 99 0.842901493804594
"100" 100 0.730517623781235
"101" 101 1.94131165731157
"102" 102 1.02971688252817
"103" 103 0.958594204315202
"104" 104 -0.101215718712643
"105" 105 0.979981884027404
"106" 106 -0.455780009434535
"107" 107 1.08672717338599
"108" 108 2.51282614594417
"109" 109 -0.0857000452745612
"110" 110 0.116666645533331
"111" 111 -0.378731350897856
"112" 112 1.37569788702737
"113" 113 1.71336020862459
"114" 114 2.54443907312577
"115" 115 0.631748773892013
"116" 116 1.86129757770795
"117" 117 1.25043023085536
