"depth" "proxy_signal" "age"
"1" 0.3 0.213669284129519 NA
"2" 0.6 1.31842294572419 NA
"3" 0.9 -1.02403672528587 NA
"4" 1.2 1.12915504436904 NA
"5" 1.5 0.706516768610881 NA
"6" 1.8 0.947863986888436 NA
"7" 2.1 0.590766653333532 NA
"8" 2.4 -0.704610493671994 NA
"9" 2.7 0.827011421535466 NA
"10" 3 -0.093747275939977 NA
"11" 3.3 1.24379428019587 NA
"12" 3.6 1.84676295220772 NA
"13" 3.9 0.917136289159976 NA
"14" 4.2 0.0586890137478367 NA
"15" 4.5 0.577597796272743 NA
"16" 4.8 -1.29044647818805 NA
"17" 5.1 -0.583272734090638 NA
"18" 5.4 -0.105548217528195 NA
"19" 5.7 -0.327415657505903 NA
"20" 6 -0.0250114760483646 NA
"21" 6.3 -0.60245041254491 NA
"22" 6.6 1.14137380751183 NA
"23" 6.9 -0.284119628683985 NA
"24" 7.2 -0.858423349220796 NA
"25" 7.5 0.311952025867223 NA
"26" 7.8 0.221659819323612 NA
"27" 8.1 -0.882533815867157 NA
"28" 8.4 -0.047848210501547 NA
"29" 8.7 -0.123458024484576 NA
"30" 9 0.251642516025961 NA
"31" 9.3 -0.0585061611245305 NA
"32" 9.6 1.65156327887119 NA
"33" 9.9 -0.634395649683659 NA
"34" 10.2 0.428156338093589 NA
"35" 10.5 0.884671776917072 NA
"36" 10.8 1.20032589858078 NA
"37" 11.1 0.811929140224416 NA
"38" 11.4 1.35160233324533 NA
"39" 11.7 -0.242554012932939 NA
"40" 12 -0.59939000750793 NA
"41" 12.3 0.449133651446036 NA
"42" 12.6 -0.236550193900737 NA
"43" 12.9 -0.246914410093228 NA
"44" 13.2 0.401302899281458 NA
"45" 13.5 -0.503550317010862 NA
"46" 13.8 0.446850121453185 NA
"47" 14.1 0.347879092813923 NA
"48" 14.4 -0.942180521976637 NA
"49" 14.7 0.865619576579259 NA
"50" 15 0.811562448800122 NA
"51" 15.3 -1.09297423279854 NA
"52" 15.6 0.0305964194673647 NA
"53" 15.9 -0.872672609080599 NA
"54" 16.2 0.105163220424235 NA
"55" 16.5 1.51776969862331 NA
"56" 16.8 1.24294313492941 NA
"57" 17.1 0.0943356178185762 NA
"58" 17.4 -0.411177364573151 NA
"59" 17.7 -0.343186129985935 NA
"60" 18 -0.797467727070936 NA
"61" 18.3 0.436863580355965 NA
"62" 18.6 1.61749429646122 NA
"63" 18.9 1.16638471781613 NA
"64" 19.2 -0.3102353953665 NA
"65" 19.5 0.672696967157873 NA
"66" 19.8 1.19109479542898 NA
"67" 20.1 1.45022720689298 NA
"68" 20.4 -0.081241823060122 NA
"69" 20.7 -1.61740671963721 NA
"70" 21 0.865566346788204 NA
"71" 21.3 0.128771684440847 NA
"72" 21.6 1.42469672282363 NA
"73" 21.9 0.659919202988514 NA
"74" 22.2 1.19601980622032 NA
"75" 22.5 0.24878126041573 NA
"76" 22.8 1.28979872897614 NA
"77" 23.1 -0.258085930587752 NA
"78" 23.4 0.972798130393983 NA
"79" 23.7 0.255691573653904 NA
"80" 24 0.488723628268911 NA
"81" 24.3 0.911929667417223 NA
"82" 24.6 -1.04396569148617 NA
"83" 24.9 0.623615896826137 NA
"84" 25.2 0.889923188625407 NA
